"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"CD34",5.26276,1.90492,5.95268,7.34236,0.99284,1.65968,5.70302,3.16216,3.662,1.73844,1.1907,3.80336,3.5453,4.35028,3.37062,3.01434,5.50884,6.4164,3.40556,1.90268,2.59706,3.5066,5.75308,2.18218,5.22344,2.89194,5.58412,1.8874,2.1763,2.12146,3.74562,2.83382,4.30012,2.85246,2.7628,5.75076,3.03434,1.694,3.74474,2.92442
"CDH5",5.99256,3.12362,3.77748,5.02396,3.08024,2.22958,3.93002,2.98886,3.3627,3.00674,3.0115,3.43656,4.6951,4.37398,3.41342,3.31984,5.19194,7.0665,3.41786,2.85788,2.73896,5.9593,3.68498,2.95608,4.83294,3.41894,4.60602,2.3667,2.2483,3.00236,4.82622,3.87232,4.83812,3.40226,2.5091,3.29356,2.51944,1.696,3.39624,3.55082
"FLT1",8.31086,5.73012,8.04908,8.26596,6.90274,5.69138,8.76692,6.44566,5.4884,5.17914,4.0342,5.90626,6.3328,6.98018,6.90882,6.41124,8.28084,9.2858,5.12816,6.22828,5.35596,7.017,9.44178,6.27468,6.39444,5.06184,8.15842,5.9457,6.1101,6.37536,7.58502,4.54302,7.41192,7.31076,4.2386,7.65766,4.43714,5.3159,6.23364,5.85692
"PECAM1",7.94536,9.03012,11.90338,11.04206,5.35664,7.30798,8.15122,4.85736,5.0646,5.37184,8.1136,6.49646,7.2722,6.60878,5.92482,8.74724,8.08324,10.3171,9.22216,4.26098,6.45606,8.3799,7.88678,7.51488,6.98174,5.67644,8.32412,6.6424,3.2569,5.41016,8.02942,7.08752,5.77322,8.76026,6.0342,9.96476,5.44284,4.331,9.90104,4.90402
"GCG",13.13376,14.46222,13.64448,14.08326,12.71044,12.17728,14.22222,13.76316,13.9578,10.53004,12.0274,8.54856,13.1739,13.72928,10.08992,7.06094,14.08254,10.7905,11.30636,13.80798,10.55406,13.4227,9.91218,12.94328,12.89524,13.85004,13.66872,11.7649,7.0631,11.94456,12.92442,14.09572,11.27282,10.22716,14.9698,13.40366,0.18034,9.6035,10.17044,11.61652
"IAPP",14.35506,14.46222,8.47208,7.20596,13.88354,14.09298,7.96822,13.12886,13.9578,10.50944,7.4936,8.45496,13.1739,9.29238,14.60372,8.97434,7.58754,12.2037,6.47936,8.49248,12.44706,6.1356,7.14508,11.59248,15.21354,7.37774,5.82482,13.9933,12.9182,11.41256,8.27112,6.74972,13.79582,8.20876,6.7415,6.61576,1.98044,8.5862,12.34084,11.61652
"INS",11.77966,14.46222,12.00058,14.24626,13.88354,14.09298,14.22222,13.76316,11.1267,10.90034,12.0274,14.22386,13.1739,14.22228,12.10362,9.43714,15.48494,12.2037,11.30636,14.14718,12.44706,13.4227,14.59408,12.94328,13.54734,13.85004,14.56182,13.9933,12.9182,11.94456,12.92442,14.09572,11.22942,12.74846,14.9698,13.40366,-5.00446,11.3142,14.28924,11.61652
"PAX4",14.35506,14.46222,11.95518,12.15076,13.88354,14.09298,14.22222,13.76316,13.9578,10.90034,12.0274,14.22386,13.1739,14.22228,15.05502,13.16024,12.84594,12.2037,11.30636,14.14718,12.44706,13.4227,14.35978,12.94328,15.21354,13.85004,14.56182,13.9933,12.9182,11.94456,12.92442,14.09572,13.79582,12.74846,14.9698,12.48036,11.94804,14.3049,14.28924,11.61652
"PDX1",14.35506,14.46222,13.64448,14.24626,13.88354,14.09298,13.43032,13.76316,13.9578,10.90034,3.405,13.73656,13.1739,9.85978,11.65832,7.66774,15.48494,12.2037,5.38716,8.74648,12.44706,8.7068,14.59408,12.94328,15.21354,5.74504,14.56182,9.1169,12.3502,11.94456,12.92442,7.30422,13.79582,12.74846,7.2059,13.40366,1.25464,10.4702,13.89424,11.61652
"SST",8.72706,13.73412,13.64448,14.24626,9.57724,4.98648,14.22222,8.12426,6.5227,9.11444,12.0274,5.21296,9.8953,12.84408,2.76382,6.54184,15.48494,10.4796,11.30636,14.14718,6.47386,13.4227,14.59408,8.98388,7.46194,13.85004,14.56182,9.2455,6.4061,10.61696,12.92442,14.09572,0.53802,0.98606,14.5317,13.40366,-0.47026,6.912,10.51204,11.61652
"OLIG2",10.46196,13.67332,13.64448,12.64116,12.36924,7.82478,14.22222,5.03636,13.9578,8.47474,11.4281,10.23086,13.1739,13.76788,10.35642,13.13884,15.48494,12.2037,11.30636,14.14718,7.28226,13.4227,13.01348,7.54748,4.79784,13.68914,14.56182,13.9933,12.9182,11.94456,11.98472,14.09572,10.38202,10.91176,14.7062,13.40366,11.94804,9.8475,10.44974,11.61652
"TAT",11.95286,9.11722,10.77448,8.91866,12.01654,11.68048,10.99222,10.92466,13.9578,10.90034,9.2784,12.78726,7.0606,14.22228,11.45752,10.10294,10.29464,11.5513,8.50876,10.70278,10.87706,13.0291,9.78438,11.44708,11.31554,12.21624,8.10602,13.4381,12.4319,9.50366,12.87362,6.04592,12.45572,12.74846,8.5512,6.93866,9.54544,13.1841,10.66774,11.61652
"AVG__HKG",20.64494,20.53778,21.35552,20.75374,21.11646,20.90702,20.77778,21.23684,21.0422,24.09966,22.9726,20.77614,21.8261,20.77772,19.68928,21.83976,19.51506,22.7963,23.69364,20.85282,22.55294,21.5773,20.40592,22.05672,19.78646,21.14996,20.43818,21.0067,22.0818,23.05544,22.07558,20.90428,21.20418,22.25154,20.0302,21.59634,23.05196,20.6951,20.71076,23.38348
