"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"LIN28A",6.93496,10.00832,3.45858,4.12996,10.58944,8.98038,4.07992,8.61316,9.928,5.10434,1.2316,2.77716,6.222,3.16838,4.28042,4.22634,5.18564,8.2065,0.76936,5.21608,6.96996,2.432,4.20278,9.19768,8.55334,3.14034,4.28562,9.1327,9.7505,8.61336,3.70832,2.44022,8.03692,8.16296,2.9792,2.16526,6.96564,7.4329,7.05604,9.63772
"PODXL",3.09706,5.34332,2.90178,2.72136,6.25144,3.70718,3.01812,2.79506,3.2499,2.68014,-0.2544,2.27766,0.5581,3.01178,2.59462,2.79834,4.15744,7.2708,-1.11594,1.43798,3.44526,1.5601,3.87358,2.83288,3.46394,1.42744,3.74022,3.388,3.9899,3.95516,4.39862,2.12142,3.01632,4.40186,1.3501,4.33966,2.24194,3.6717,3.07704,4.30712
"REST",3.48776,3.39982,1.75338,2.35006,3.59164,4.11058,3.01602,3.26786,3.8834,3.04324,2.6315,2.46036,2.5417,2.81808,3.02302,3.20664,2.42424,2.6599,3.08756,4.04938,3.40266,3.5251,2.91928,4.45108,3.99774,3.02314,1.20662,3.9963,4.9551,2.82346,3.44682,2.92572,4.22532,4.57096,3.0773,0.45446,2.48754,3.2698,4.27324,4.44272
"SEMA3A",5.25316,7.35752,7.35418,7.45696,7.23274,6.25558,6.23122,6.69236,6.3165,4.16974,4.9275,3.48656,5.2559,5.92648,4.04382,4.02924,7.17844,10.9648,8.14976,5.86758,4.53916,6.741,7.15968,5.15588,6.89584,7.97204,6.40082,3.8457,7.0701,10.11156,6.52482,7.87852,5.04022,4.31146,8.843,7.05956,6.59654,3.9269,3.39724,7.82482
"TERT",5.79036,6.03802,4.86908,5.68986,5.33764,5.57998,5.66352,5.31666,5.5889,2.45154,3.3884,5.80426,4.4529,5.45598,6.79342,4.73094,6.68314,3.7952,2.99956,5.49168,4.07026,4.8751,6.20828,4.80908,6.67284,5.43104,6.01702,5.6369,4.8516,3.36026,4.39232,5.64332,5.44812,4.30606,6.5251,4.83226,3.39624,5.8244,5.63954,3.10882
"FGF4",14.35506,14.46222,12.98248,14.24626,13.88354,14.09298,14.22222,13.76316,13.9578,10.90034,12.0274,8.67436,13.1739,4.52598,9.64312,13.16024,15.40414,12.2037,11.30636,14.14718,12.44706,12.873,14.59408,12.94328,15.21354,13.85004,14.56182,13.9933,12.9182,11.94456,5.07912,14.09572,13.79582,12.74846,14.9698,13.40366,11.94804,14.3049,12.45854,11.61652
"FGF5",12.18536,13.18032,13.64448,14.24626,12.00634,9.02088,14.22222,13.67706,12.0957,10.90034,9.7229,8.18206,13.1739,14.22228,10.06922,10.32084,15.48494,12.2037,11.30636,14.14718,9.08246,13.4227,14.59408,11.39478,10.98074,13.85004,14.56182,11.432,11.6524,11.94456,12.92442,14.09572,9.87272,10.31066,14.9698,11.13756,11.94804,10.4734,9.78334,11.61652
"GDF3",14.35506,11.30732,6.41988,4.62646,10.89114,12.25508,9.16072,12.10156,10.0914,8.27114,1.8682,10.23746,13.1739,1.26998,8.46202,8.16914,5.07894,12.2037,0.49916,3.47438,11.27146,9.0135,5.73168,12.94328,13.96714,5.02544,1.57532,10.0671,11.0904,11.50866,1.83982,3.01032,12.17702,12.74846,0.5952,5.70166,11.94804,10.4822,12.40634,7.66662
"LEFTY1",11.02646,7.54272,7.55818,5.88706,11.70434,8.52338,10.22482,7.99106,11.4681,8.97114,2.481,9.45746,8.2268,4.95788,8.48612,7.00654,8.68444,10.9709,1.40146,0.47958,7.25696,9.9347,3.83348,8.97338,8.31984,-0.44366,5.63812,7.1351,9.8727,6.42646,6.33952,-1.24448,8.82242,6.79926,-0.5209,7.36006,1.49144,7.7509,7.77084,6.51062
"LEFTY2",10.82046,6.33362,10.92878,8.11356,8.99494,8.21758,12.56442,8.69096,7.2761,8.41204,2.322,7.76726,9.045,5.03498,8.79452,7.02904,11.31114,11.2909,-0.37014,2.27428,12.44706,11.8964,3.68578,8.28578,13.89394,-3.00486,7.68482,7.0923,5.789,2.68466,6.90282,-3.62948,8.70822,9.68336,-1.4317,9.56816,7.18594,8.2723,10.75934,6.30472
"NODAL",9.00616,9.95852,4.46188,5.62606,9.78074,9.76138,6.83052,7.78346,10.414,8.92544,2.5456,3.62716,8.7127,4.01128,7.49222,6.50644,6.91234,8.8907,1.71296,2.31178,6.99896,9.048,6.19958,7.36538,7.36864,1.97284,3.88902,9.1555,9.9532,8.00326,5.63032,1.02132,10.05532,6.22236,0.6947,4.04676,7.60654,8.4119,6.37504,8.58992
"TDGF1",11.60836,6.93572,7.00608,10.44736,7.21954,10.43568,9.02212,9.25826,13.7307,10.90034,1.0369,1.47196,11.2922,2.46398,6.59352,5.05964,9.04564,6.3887,0.20756,1.69908,12.39656,1.8204,8.59748,12.94328,10.18554,1.44634,5.81382,10.1121,10.4601,9.18306,5.98372,2.81252,11.80822,10.56496,1.667,5.01196,8.20244,10.2267,10.71074,6.79632
"FOXA2",14.35506,14.46222,10.45818,8.77596,13.88354,11.12668,10.46342,13.76316,13.9578,10.30184,1.4492,7.86686,3.3143,8.52888,5.80602,4.45274,10.48734,12.2037,1.54036,4.06838,12.07106,2.3373,9.61578,12.94328,13.93784,3.06874,8.49072,7.0461,7.4445,11.94456,8.71342,1.98622,13.79582,8.67936,2.0443,7.10876,2.94324,6.0613,14.28924,11.61652
"GATA4",14.35506,2.08682,4.02348,3.30826,3.31594,14.09298,4.70602,13.76316,13.9578,10.90034,1.2545,3.41096,13.1739,7.92788,7.92062,5.52134,4.86984,12.2037,1.39586,4.65398,11.63146,3.3507,4.78078,12.94328,15.21354,2.02004,2.94482,7.7794,12.9182,11.94456,3.77862,2.08852,13.79582,12.74846,1.4277,2.64266,2.98484,7.554,13.36144,4.92882
"PTF1A",7.85246,14.46222,13.00088,14.24626,13.88354,9.05538,14.22222,12.90266,13.9578,10.90034,12.0274,13.90576,12.4342,14.22228,9.02062,12.47554,15.48494,12.2037,11.30636,14.14718,12.44706,13.4227,14.59408,12.94328,15.21354,13.85004,13.08392,9.9312,12.9182,11.39886,10.99912,14.09572,7.52122,12.20276,14.9698,13.40366,3.56994,12.6411,12.17324,11.61652
