"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"hsa_miR_335",1,183.1,71.9,89.1,61.5,55.7,15.4,183.7,30.6,275.7,116.4,1,3.3,34.8,1,65,46.7,111.2,32.7,231.1,34.3,167.4,68.1,41.9,49.6,36,65.4,78.7,47,145.7,46.8,18.6,38.9,26.6,1.2,15.4,7.4,142.5,1,11.6
"hsa_miR_1308",28,126.6,61.5,46,44.1,42,88.4,95.7,6.6,180.2,109.3,4.9,1,25.9,26.2,47.6,79.5,78.7,61.5,140.2,21.4,78.4,34.9,21.7,95.2,45.1,33.4,53.6,47,61.5,48.6,30.7,30.5,29.3,11.1,26.3,1,72.6,1,1
"kshv_miR_K12_4_5p",1,239.6,71.9,60.3,65,42,15.4,166.1,28.1,235.9,123.5,1,4,46.3,1,27.1,33.7,90.9,31.2,163,29.1,126.9,37.4,47.4,49.6,54.2,23.4,66.2,20.7,109.6,45,8.3,34.7,28,4.9,14.1,1,223.1,1,18.9
"hsa_miR_302c",1,78.2,35.6,78.3,23.1,36.1,19.3,25.3,6.6,164.3,155.5,61.1,1,34.8,10.4,25.5,18.4,58.4,76.6,110,7.1,175.5,27.2,12.5,38.3,131.7,17.3,69.3,9.5,49.5,48.6,63.4,10.8,29.3,122.4,22.2,1,83.4,1,1
"hsa_miR_450b_5p",1,150.8,51.2,96.2,72,53.7,10.5,139.7,35.7,299.5,102.2,1,6.7,24.6,1,49.2,31.5,78.7,11.6,163,22.7,94.6,50.2,32.7,65.6,36,21.3,66.2,18.9,97.6,41.5,12.1,15,26.6,1.2,11.3,1.7,180.1,1,8.8
"hsa_miR_619",1,191.2,40.8,60.3,82.4,55.7,9.5,95.7,39.5,291.6,73.7,1,8.8,27.2,1,25.5,40.2,82.8,17.6,185.7,13.6,98.6,65.5,21.7,51.9,54.2,49.4,69.3,28.2,137.7,36.2,8.3,20.7,29.3,6.8,8.6,1.7,153.2,1,25.3
"hsa_miR_574_5p",8.7,215.4,33.1,56.7,253.3,63.5,35.8,34.1,98.9,132.5,112.8,1,11.6,64.1,1,74.5,38,66.6,7,102.4,40.7,50.1,57.8,65.7,38.3,31.4,13.3,103.9,39.5,89.6,59.2,27,40.3,30.7,13,20.9,25.2,137.1,1,27.1
"hsa_miR_361_3p",1,183.1,74.5,81.9,44.1,36.1,22.2,148.5,19.2,235.9,102.2,1,12.3,39.9,1,17.6,44.6,58.4,17.6,147.8,23.9,106.7,52.7,41.9,47.4,40.6,35.4,31.6,56.4,141.7,30.9,9.3,26.3,14.2,1.8,5.9,1,115.6,1,21.6
"hsa_miR_1283",7,94.3,134,46,68.5,69.4,52.3,95.7,45.8,1,194.6,1,16.4,65.4,1,55.5,44.6,200.5,31.2,102.4,36.9,118.9,68.1,47.4,133.9,106.7,55.4,119.6,58.3,81.6,101.7,39.1,68.5,76,16.1,61.8,22,121,1,39.1
"hsa_miR_99b",39.5,29.7,17.5,20.8,33.6,20.5,15.4,69.3,38.2,84.7,45.3,31.3,19.8,69.2,43.7,65,14,26,23.7,26.7,12.3,17.7,17,27.2,15.5,115.8,11.3,37.9,17,57.5,25.6,46.6,13.6,30.7,32.9,18.2,62.1,40.4,12.2,15.2
"hsa_miR_548a_3p",1,175,53.8,74.7,75.4,30.2,6.6,166.1,26.8,204.1,77.3,1,1,36.1,1,23.9,35.8,38.1,13.1,170.5,26.5,126.9,47.6,43.7,33.7,56.5,33.4,78.7,39.5,105.6,39.7,3.7,30.5,23.8,1,10,1,223.1,1,11.6
"ebv_miR_BHRF1_3",39.1,53.9,43.4,6.4,2.2,36.1,46.5,42.9,15.4,68.8,77.3,23.1,21.2,34.8,46.6,25.5,77.3,62.5,14.6,19.1,23.9,110.8,70.6,43.7,88.4,61.1,95.4,37.9,13.2,17.4,53.9,28.9,20.7,23.8,58.4,35.9,9.9,13.5,9.7,8.8
"hsa_miR_518f",1,263.8,56.3,78.3,61.5,45.9,9.5,201.3,21.8,1,84.4,1,1.2,33.5,1,46.1,42.4,82.8,25.2,140.2,27.8,195.7,47.6,52.9,83.8,61.1,27.4,122.7,43.3,157.7,43.3,14.9,31.9,51.3,14.9,20.9,1,126.4,1,26.2
"hsa_miR_151_5p",30.1,29.7,43.4,24.4,19.7,8.7,113.7,25.3,10.4,52.9,24,26.8,32.9,33.5,29.4,20.8,33.7,21.9,5.5,4,23.9,58.2,55.3,18,45.1,1.8,153.5,44.2,17,17.4,34.4,27.9,17.9,15.6,67.7,116.4,71.6,45.8,9.1,18
"hsa_miR_142_5p",1,191.2,51.2,74.7,40.6,51.8,9.5,157.3,23,204.1,73.7,1,1,27.2,1,23.9,20.6,38.1,7,208.4,16.2,98.6,42.5,14.3,40.5,63.4,13.3,47.3,24.5,121.7,23.8,1,15,4.6,1,20.9,1,164,1,10.6
"ebv_miR_BHRF1_1",36.5,45.9,64.1,24.4,12.7,26.3,63,60.5,14.2,44.9,91.5,20.6,32.9,37.4,37.3,30.3,62,38.1,13.1,57,4.6,58.2,70.6,23.5,56.5,70.2,79.4,37.9,20.7,9.4,34.4,39.1,24.9,48.5,45.9,61.8,1,45.8,10,5.1
"hsa_miR_300",1,199.2,56.3,74.7,78.9,36.1,7.6,254,20.5,196.1,73.7,1,8.1,23.3,1,36.6,31.5,99,5.5,147.8,17.5,90.5,22.1,32.7,49.6,58.8,31.4,75.6,35.8,85.6,34.4,11.1,19.3,18.3,1,18.2,1,180.1,1,5.1
"hsa_miR_592",1,110.4,66.7,89.1,82.4,45.9,15.4,104.5,31.9,227.9,59.5,1,1,46.3,1,33.4,22.7,46.3,1,155.4,26.5,118.9,45.1,25.4,24.6,49.7,25.4,88.2,26.4,85.6,25.6,8.3,40.3,17,1,15.4,15.6,137.1,1,16.1
"hsa_miR_548f",1,86.2,58.9,67.5,82.4,45.9,18.3,122.1,26.8,267.7,109.3,1,1,46.3,1,25.5,44.6,86.9,13.1,155.4,14.9,86.5,37.4,21.7,51.9,42.8,19.3,47.3,26.4,73.5,18.5,5.6,27.7,32.1,1,20.9,1,126.4,1,1.5
"hsa_miR_320c",1,1,1,1,1,1,1,7.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"hsa_miR_485_3p",4.8,94.3,1,71.1,1,55.7,13.4,86.9,4.1,92.7,1,1,1,65.4,6.9,96.6,9.7,1,1,79.7,1,70.3,103.8,25.4,1,63.4,129.5,1,3.8,101.6,7.9,71.8,19.3,36.2,41,64.6,2.9,61.9,1,7.9
"hsa_miR_223",11.7,62,48.6,17.2,37.1,28.3,57.2,51.7,48.3,60.9,56,14.8,30.1,61.6,1,77.6,53.3,62.5,100.8,34.3,14.9,70.3,70.6,21.7,67.9,33.7,29.4,28.4,41.4,57.5,29.1,1,19.3,7.4,14.2,4.5,4.8,56.5,1,30.8
"kshv_miR_K12_9",1,118.5,38.2,63.9,51,47.9,3.7,130.9,15.4,204.1,84.4,1,1,24.6,1,17.6,38,54.4,17.6,185.7,18.8,66.3,52.7,12.5,51.9,40.6,21.3,47.3,39.5,81.6,29.1,1,12.2,25.2,1,19.5,1,180.1,1,2.4
"hsa_miR_30b",10.4,86.2,27.9,53.1,23.1,6.8,45.5,60.5,9.1,1,45.3,18.1,57,20.8,12,52.4,33.7,34.1,20.6,41.9,34.3,66.3,37.4,19.8,10.9,33.7,19.3,44.2,13.2,49.5,45,8.3,23.5,14.2,18,18.2,154.9,78,1.2,33.6
"hsa_miR_137",1,215.4,40.8,56.7,68.5,30.2,9.5,148.5,9.1,235.9,109.3,1,1,32.3,1,27.1,24.9,78.7,5.5,178.1,12.3,50.1,11.9,7,29.1,24.6,23.4,56.7,32,117.6,16.7,13,20.7,12.9,1,5.9,1,99.5,1,5.1
"hsa_miR_10b",1,94.3,38.2,74.7,65,24.4,16.3,60.5,24.3,124.5,48.8,1,36.3,27.2,30.4,20.8,51.1,34.1,31.2,117.5,3.3,62.2,27.2,12.5,13.2,31.4,15.3,31.6,13.2,85.6,32.6,1,13.6,6,19.8,12.7,4.2,40.4,1,30.8
"hsa_miR_548h",1,78.2,38.2,71.1,30.1,44,6.6,139.7,11.6,220,84.4,1,1,15.7,1,22.4,20.6,58.4,8.5,117.5,5.9,102.7,47.6,14.3,51.9,31.4,13.3,25.3,28.2,85.6,23.8,2.8,27.7,17,1,4.5,1,147.9,1,16.1
"hsa_miR_432",1,29.7,12.4,117.8,23.1,47.9,3.7,51.7,16.7,60.9,134.2,11.9,1,93.4,24.1,106.1,1,5.7,1,34.3,7.1,135,4.3,27.2,1.8,79.3,1.3,63,18.9,53.5,1,29.8,22.1,63.6,6.2,7.2,9.3,35,1,1
"hsa_miR_1537",1,150.8,35.6,110.6,44.1,40,10.5,130.9,24.3,132.5,87.9,1,4.7,23.3,1,3.4,48.9,66.6,16.1,200.8,18.8,42,40,36.4,54.2,52,7.3,44.2,30.1,57.5,34.4,1,20.7,12.9,1,7.2,1,126.4,1,23.5
"hsa_miR_146a",1,142.7,64.1,46,30.1,20.5,81.5,130.9,9.1,124.5,77.3,1,1,23.3,1,27.1,33.7,62.5,19.1,57,7.1,58.2,88.5,12.5,131.7,33.7,15.3,63,26.4,73.5,25.6,5.6,8,15.6,29.2,16.8,5.5,99.5,1,59.2
"hsa_miR_555",1,134.7,46,49.5,54.5,34.2,14.4,130.9,7.9,220,66.6,1,1,15.7,1,30.3,29.3,66.6,4,163,4.6,82.4,1.7,29,22.3,47.4,11.3,25.3,15.1,85.6,48.6,6.5,19.3,1,1.2,14.1,2.3,110.3,1,7
"hsa_miR_495",5.3,86.2,61.5,46,30.1,30.2,17.3,69.3,5.3,180.2,84.4,7.4,1,23.3,12.5,49.2,24.9,21.9,16.1,72.1,12.3,82.4,68.1,8.8,20,31.4,37.4,41,3.8,45.5,25.6,29.8,6.6,8.7,1,34.5,1,126.4,1,1
"hsa_miR_649",1,62,40.8,107,68.5,81.1,16.3,130.9,20.5,172.2,84.4,1,1,32.3,1,14.5,40.2,82.8,8.5,79.7,27.8,74.3,45.1,19.8,42.8,13.2,23.4,78.7,7.6,93.6,57.4,7.4,33.3,4.6,1,12.7,4.8,67.3,1,1
"hsv1_miR_H1",1,175,35.6,42.4,54.5,20.5,1,122.1,7.9,227.9,38.2,1,1,10.6,1,8.1,33.7,38.1,11.6,163,14.9,50.1,24.7,23.5,26.9,26.9,15.3,37.9,20.7,101.6,20.2,1,16.4,6,1,12.7,1,94.1,1,1
"hsa_miR_548d_5p",1,142.7,46,99.8,58,40,1.7,166.1,6.6,164.3,59.5,1,1,19.5,1,17.6,44.6,46.3,2.5,110,9.7,46,45.1,18,13.2,49.7,27.4,56.7,30.1,97.6,30.9,8.3,1,11.5,1,14.1,1,126.4,1,7
"hsa_miR_128",1,94.3,38.2,28,37.1,12.6,6.6,104.5,2.8,132.5,66.6,1,1,20.8,1,9.7,11.8,46.3,2.5,102.4,20.1,37.9,14.5,19.8,33.7,29.2,9.3,22.2,9.5,109.6,25.6,1,8,1,1,4.5,1,110.3,29.2,1
"hsa_miR_21",40.4,37.8,48.6,28,12.7,36.1,78.6,34.1,34.4,29,38.2,1,12.9,47.5,1,46.1,64.2,42.2,16.1,26.7,26.5,50.1,40,1,88.4,29.2,45.4,72.5,17,53.5,73.3,9.3,116.3,3.3,26.7,1,19.5,40.4,1,46.4
"hsa_miR_140_5p",1,142.7,48.6,78.3,65,22.4,13.4,157.3,6.6,164.3,63.1,1,1,27.2,1,17.6,31.5,62.5,5.5,125.1,17.5,74.3,47.6,10.7,38.3,20,7.3,69.3,7.6,81.6,25.6,1,10.8,12.9,1,14.1,1,35,1,4.2
"hsa_miR_1974",1,142.7,193.5,20.8,16.2,4.8,314.1,78.1,16.7,124.5,59.5,1,1,10.6,1,1.8,11.8,13.8,23.7,64.6,9.7,37.9,4.3,10.7,13.2,22.3,1,19,48.9,49.5,22,1,19.3,4.6,1,1,1,40.4,1,3.3
"hsa_miR_584",1,78.2,33.1,35.2,26.6,18.5,7.6,86.9,24.3,235.9,77.3,1,1,20.8,1,22.4,38,38.1,4,125.1,13.6,131,47.6,14.3,40.5,13.2,9.3,44.2,7.6,93.6,27.3,9.3,1,23.8,1,18.2,1,88.8,1,2.4
"hsa_miR_200b",1,94.3,17.5,31.6,1,10.7,1,1,1,1,48.8,4.5,171.1,15.7,5.3,30.3,1,42.2,13.1,72.1,27.8,37.9,1,1,1,15.5,1,34.7,33.9,77.5,1,1,1,6,11.8,1,238.9,35,1,1
"hsa_miR_29a",31.4,5.5,7.2,28,16.2,1,65,25.3,28.1,1,27.5,1,91.3,27.2,1,16,18.4,34.1,28.2,19.1,2,37.9,24.7,1.5,13.2,15.5,3.3,12.7,3.8,41.5,61,1.8,57.2,1,18,3.1,68.4,13.5,1,117.9
"hsa_miR_595",1,110.4,71.9,38.8,65,16.5,12.4,166.1,6.6,220,52.4,1,1,10.6,1,1,44.6,38.1,8.5,147.8,5.9,106.7,6.8,34.5,8.6,8.7,5.3,41,13.2,61.5,14.9,4.6,6.6,8.7,1,1.8,1,94.1,1,1
"hsa_miR_431",1.9,118.5,43.4,63.9,23.1,42,10.5,78.1,10.4,100.6,66.6,1,1,9.3,35.7,12.9,14,58.4,1,125.1,17.5,62.2,6.8,29,26.9,54.2,7.3,37.9,15.1,49.5,18.5,22.3,24.9,18.3,1,7.2,1,110.3,1,1
"kshv_miR_K12_12",1,86.2,66.7,74.7,85.9,40,16.3,157.3,7.9,124.5,56,1,1,22.1,1,3.4,16.2,54.4,8.5,185.7,1,70.3,22.1,12.5,24.6,31.4,3.3,19,18.9,69.5,37.9,12.1,12.2,12.9,1,10,1,94.1,1,1
"hsa_miR_767_5p",1,142.7,1,31.6,16.2,4.8,5.6,78.1,4.1,1,31.1,1,1,1,1,14.5,393.6,34.1,1,102.4,9.7,90.5,210.9,18,90.6,4.1,373.8,22.2,9.5,49.5,25.6,1,6.6,4.6,1,15.4,1,88.8,1,1
"hsa_miR_633",1,134.7,48.6,103.4,40.6,4.8,26.1,139.7,10.4,164.3,24,1,1,14.4,1,27.1,22.7,70.6,1,94.8,11,82.4,29.8,16.2,33.7,45.1,13.3,56.7,17,73.5,23.8,1,24.9,6,1,1,1,88.8,1,1
"hsa_miR_183",1,78.2,69.3,2.9,30.1,34.2,100,95.7,1,132.5,45.3,1,1,19.5,18.3,12.9,55.5,50.3,13.1,26.7,1,17.7,57.8,7,58.8,61.1,75.4,12.7,24.5,61.5,23.8,7.4,2.4,7.4,5.5,68.7,1,51.2,1,7
"hsa_miR_509_3p",1,29.7,7.2,28,1,12.6,1,34.1,1,29,16.8,1,1,11.9,1,1,1,9.7,1,64.6,1,17.7,1.7,3.3,20,4.1,3.3,22.2,1,33.4,154.8,1,1,1,246.1,105.5,1,24.3,1,3.3
"hsa_miR_142_3p",1,78.2,43.4,53.1,54.5,22.4,19.3,60.5,5.3,196.1,27.5,1,1,34.8,1,23.9,62,180.2,4,117.5,18.8,33.9,65.5,10.7,33.7,13.2,29.4,25.3,7.6,45.5,34.4,1,31.9,8.7,1,8.6,1,99.5,1,12.5
"hsa_miR_199a_5p",1,86.2,30.5,28,33.6,6.8,4.7,60.5,18,116.6,45.3,21.8,1,15.7,26.5,49.2,14,9.7,2.5,79.7,22.7,46,19.6,8.8,33.7,20,1.3,47.3,20.7,69.5,25.6,1,24.9,18.3,1,14.1,15.6,35,1,26.2
"hsa_miR_503",1,62,74.5,107,61.5,36.1,27,69.3,1.5,156.3,84.4,1,1,37.4,1,9.7,3.1,115.3,1,49.4,2,58.2,32.3,27.2,31.4,26.9,11.3,50.5,1,65.5,50.3,2.8,22.1,17,1,11.3,1,110.3,1,1
"hsa_miR_455_3p",1,118.5,46,46,33.6,32.2,3.7,69.3,10.4,1,59.5,9.4,1,27.2,5.1,68.2,16.2,38.1,8.5,87.3,31.7,102.7,9.4,38.2,8.6,40.6,19.3,31.6,17,29.4,16.7,27,23.5,17,19.2,19.5,12.5,121,1,1
"hsa_miR_589",1,175,48.6,74.7,44.1,32.2,3.7,122.1,15.4,124.5,63.1,1,1,18.2,1,9.7,24.9,66.6,1,79.7,18.8,42,19.6,29,15.5,17.8,15.3,28.4,18.9,65.5,30.9,3.7,19.3,25.2,1,7.2,1,153.2,1,1
"hsa_miR_214",5.3,29.7,14.9,10,162.6,45.9,5.6,25.3,34.4,1,6.2,35.5,1,108.7,47.6,31.8,22.7,5.7,1,19.1,9.7,13.7,17,49.2,31.4,4.1,1,69.3,114.6,49.5,20.2,8.3,23.5,71.9,1,22.2,12.5,1,1,38.1
"hsa_miR_320a",1.4,94.3,56.3,128.6,30.1,18.5,22.2,16.5,12.9,148.4,59.5,1,3.3,38.6,5.3,12.9,18.4,30,1,49.4,22.7,54.1,19.6,19.8,31.4,22.3,19.3,41,11.3,29.4,13.2,6.5,29.1,6,1,14.1,1.7,67.3,1,1
"hsa_miR_548b_3p",1,158.9,43.4,67.5,12.7,32.2,15.4,42.9,6.6,164.3,52.4,1,1,17,1,16,18.4,30,2.5,110,9.7,86.5,37.4,12.5,36,36,7.3,31.6,7.6,77.5,23.8,7.4,8,7.4,1.8,22.2,1,115.6,1,15.2
"hsa_miR_525_3p",1,118.5,48.6,63.9,54.5,18.5,8.5,95.7,11.6,180.2,56,1,1,22.1,1,31.8,24.9,5.7,2.5,87.3,13.6,70.3,17,10.7,31.4,13.2,13.3,9.6,13.2,69.5,9.6,1,19.3,8.7,1,1,1,83.4,1,1
"hsa_miR_506",1,134.7,38.2,42.4,26.6,38.1,1,113.3,1.5,124.5,41.7,1,1,3,1,9.7,20.6,46.3,1,102.4,14.9,90.5,4.3,1,36,22.3,11.3,41,13.2,57.5,94.6,1,8,7.4,22.9,14.1,1,67.3,1,1
"hsa_miR_34c_3p",1,118.5,56.3,42.4,54.5,34.2,1,78.1,1.5,220,80.8,1,24.6,10.6,1,9.7,29.3,42.2,1,72.1,9.7,21.8,1.7,1.5,31.4,26.9,1,31.6,35.8,61.5,25.6,1,12.2,10.1,1,1,1,99.5,1,1
"hsa_miR_34b",1,110.4,35.6,38.8,19.7,22.4,10.5,130.9,4.1,76.8,59.5,1,12.3,32.3,1,9.7,14,46.3,5.5,94.8,17.5,66.3,40,34.5,42.8,24.6,19.3,34.7,17,81.6,32.6,4.6,17.9,23.8,1,18.2,3.6,61.9,1,1
"hsa_miR_708",1,126.6,40.8,38.8,12.7,24.4,7.6,78.1,18,132.5,59.5,1,1,15.7,1,6.6,22.7,66.6,7,110,9.7,29.8,22.1,27.2,36,22.3,7.3,34.7,13.2,69.5,25.6,9.3,3.8,19.7,1,10,1,88.8,1,7
"hsa_miR_1302",1,62,40.8,28,37.1,36.1,1.7,130.9,10.4,188.2,45.3,1,1,6.8,1,14.5,20.6,30,2.5,87.3,9.7,58.2,11.9,7,10.9,31.4,11.3,28.4,20.7,69.5,20.2,1,8,6,1,1,1,121,1,1
"hsa_miR_566",1,158.9,38.2,35.2,54.5,16.5,11.5,113.3,5.3,164.3,56,1,1,4.2,1,1,11.8,62.5,8.5,125.1,5.9,62.2,32.3,1,36,17.8,3.3,15.9,17,61.5,9.6,1,8,8.7,1,5.9,1,78,1,1
"hsa_miR_197",5.3,37.8,2,60.3,16.2,24.4,11.5,34.1,4.1,100.6,34.6,7.4,1,17,10.6,1,1,26,17.6,64.6,20.1,13.7,27.2,43.7,4.1,33.7,9.3,19,1,41.5,1,7.4,16.4,28,1,4.5,7.4,67.3,1,1
"hsa_miR_222",8.7,62,9.8,20.8,16.2,4.8,9.5,60.5,1,108.6,24,1,17.8,14.4,1,8.1,29.3,30,19.1,79.7,5.9,5.6,11.9,19.8,13.2,10.9,27.4,19,22.6,33.4,11.4,5.6,17.9,1.9,9.9,44.1,25.8,61.9,1,7.9
"hsa_miR_376c",1,126.6,27.9,63.9,44.1,40,1,130.9,9.1,108.6,16.8,1,1,22.1,1,6.6,24.9,38.1,1,110,9.7,58.2,17,21.7,20,33.7,11.3,12.7,9.5,85.6,25.6,7.4,8,7.4,1,3.1,1,72.6,1,1
"hsa_miR_328",1,70.1,27.9,46,37.1,34.2,6.6,60.5,7.9,180.2,38.2,1,1,10.6,1,19.2,14,26,1,49.4,8.4,78.4,1,25.4,15.5,29.2,3.3,34.7,30.1,57.5,20.2,2.8,8,23.8,1,1,1,88.8,1,1.5
"hsa_miR_548m",1,126.6,20.1,49.5,19.7,22.4,1,95.7,12.9,180.2,70.2,1,1,11.9,1,19.2,16.2,26,13.1,170.5,12.3,62.2,14.5,5.2,20,31.4,3.3,25.3,17,53.5,22,1,3.8,15.6,1,1,1,94.1,1,1
"hsa_miR_199b_5p",1,78.2,1,17.2,16.2,20.5,1.7,69.3,14.2,84.7,16.8,38.8,1,15.7,68.8,77.6,5.3,17.8,1,19.1,40.7,17.7,14.5,19.8,22.3,1,1,12.7,30.1,65.5,13.2,1,9.4,28,1,11.3,4.8,29.7,1,2.4
"hsa_miR_517c_hsa_miR_519a",1,62,22.7,38.8,40.6,18.5,9.5,42.9,10.4,156.3,66.6,1,1,20.8,1,8.1,1,54.4,11.6,102.4,14.9,58.2,27.2,10.7,42.8,24.6,17.3,25.3,9.5,53.5,68,1,16.4,17,6.8,7.2,1,88.8,1,19.8
"hsa_miR_1825",1,175,33.1,60.3,16.2,22.4,4.7,95.7,1.5,188.2,41.7,1,1,20.8,1,9.7,16.2,21.9,2.5,49.4,3.3,86.5,9.4,21.7,24.6,13.2,9.3,44.2,3.8,53.5,18.5,1,1,1,1,1,1,94.1,1,7.9
"hsa_miR_296_5p",1,37.8,79.6,17.2,9.2,1,49.4,42.9,12.9,1,2.6,1,10.2,79.4,1,65,53.3,50.3,1,49.4,1,25.8,19.6,10.7,38.3,1,135.5,12.7,15.1,9.4,7.9,1,1,23.8,1,33.2,18.2,40.4,23.2,12.5
"hsa_miR_664",3.6,45.9,12.4,2.9,2.2,63.5,1,16.5,33.1,13.1,31.1,4,10.9,23.3,1,44.5,16.2,1,1,64.6,1,66.3,19.6,36.4,10.9,58.8,33.4,1,5.7,65.5,69.8,19.5,1,43,8,3.1,16.9,24.3,1,34.5
"hsa_miR_190b",1,21.7,12.4,28,2.2,10.7,1,25.3,11.6,1,38.2,1,1,6.8,37.1,8.1,1,54.4,1,57,23.9,25.8,9.4,25.4,10.9,1,1.3,12.7,1,21.4,9.6,1,15,6,1,1,43.6,35,40.6,1
"hsa_miR_410",1,126.6,22.7,78.3,33.6,28.3,1.7,34.1,4.1,140.4,41.7,1,1,8.1,1,6.6,11.8,34.1,8.5,102.4,1,37.9,4.3,10.7,26.9,10.9,15.3,34.7,3.8,69.5,14.9,7.4,8,1,1,5.9,1,56.5,1,1
"hsa_miR_934",1,21.7,30.5,17.2,68.5,45.9,5.6,95.7,15.4,60.9,112.8,1,1,19.5,1,20.8,27.1,62.5,1,87.3,13.6,54.1,29.8,12.5,38.3,47.4,19.3,50.5,17,93.6,29.1,12.1,22.1,25.2,1,3.1,1,83.4,1,6.1
"hsa_miR_543",17.7,53.9,22.7,53.1,2.2,1,10.5,34.1,2.8,68.8,45.3,15.2,1,15.7,26.2,44.5,16.2,9.7,1,34.3,5.9,33.9,19.6,7,20,15.5,21.3,6.4,5.7,29.4,6.1,58.7,1,1,6.2,30.4,1,18.9,1,1
"hsa_miR_208a",1,53.9,30.5,24.4,30.1,20.5,1,104.5,16.7,188.2,56,1,1,1.7,1,12.9,11.8,21.9,1,87.3,12.3,62.2,14.5,1,33.7,8.7,3.3,37.9,13.2,45.5,20.2,1,8,3.3,1,4.5,1,131.8,1,3.3
"hsa_miR_652",1,158.9,25.3,60.3,40.6,18.5,1,86.9,10.4,84.7,63.1,1,1,17,1,14.5,33.7,70.6,1,117.5,11,86.5,29.8,1.5,10.9,24.6,11.3,12.7,9.5,29.4,20.2,1,6.6,11.5,1,19.5,1,67.3,1,2.4
"hsa_miR_759",1,110.4,17.5,49.5,30.1,12.6,1,86.9,4.1,148.4,45.3,1,1,14.4,1,6.6,16.2,46.3,4,72.1,16.2,33.9,9.4,14.3,20,36,1,44.2,24.5,61.5,14.9,1.8,16.4,10.1,1,10,1,94.1,1,1.5
"hsa_miR_654_3p",1,158.9,38.2,31.6,37.1,22.4,1.7,78.1,1,84.7,56,1,1,19.5,1,20.8,18.4,34.1,1,110,9.7,70.3,19.6,1.5,6.4,22.3,9.3,41,18.9,69.5,16.7,3.7,1,11.5,1,5.9,1,147.9,1,1
"hsa_miR_181c",1,78.2,22.7,13.6,40.6,14.6,2.7,95.7,5.3,108.6,20.4,1,1,18.2,1.9,6.6,1,58.4,1,64.6,13.6,62.2,17,16.2,17.7,26.9,9.3,22.2,13.2,17.4,14.9,1,1,17,1,7.2,6.1,24.3,4.1,1.5
"hsa_miR_15a",8.3,62,22.7,6.4,19.7,8.7,1,7.7,10.4,1,45.3,43.3,1,10.6,27.5,1,7.5,17.8,32.7,57,3.3,50.1,50.2,5.2,17.7,1,13.3,9.6,3.8,9.4,14.9,1,19.3,1,31,12.7,1,45.8,6.8,5.1
"hsa_miR_450a",1,134.7,25.3,38.8,44.1,18.5,4.7,69.3,9.1,148.4,16.8,7.8,1,13.1,1,6.6,22.7,54.4,4,102.4,1,74.3,34.9,1,15.5,4.1,1.3,31.6,28.2,29.4,18.5,3.7,10.8,12.9,1,8.6,1,40.4,1,1
"hsa_miR_34c_5p",1,102.4,4.6,35.2,26.6,26.3,13.4,104.5,9.1,108.6,20.4,1,13.6,15.7,1,17.6,24.9,30,16.1,94.8,5.9,90.5,11.9,12.5,26.9,17.8,13.3,31.6,9.5,21.4,14.9,1.8,1,1,1,10,1,94.1,1,1
"hsa_miR_371_5p",1,37.8,198.7,20.8,1,12.6,157.5,42.9,1,1,27.5,1,1,24.6,1,1,94.7,21.9,13.1,64.6,7.1,37.9,65.5,1,70.1,42.8,199.6,12.7,2,21.4,78.7,12.1,1,1,4.3,128.7,1,40.4,1,1
"hsa_miR_760",1,110.4,35.6,78.3,33.6,6.8,1,95.7,1,196.1,45.3,1,1,15.7,1,22.4,7.5,34.1,2.5,87.3,14.9,58.2,4.3,8.8,17.7,1,5.3,37.9,5.7,45.5,1,1,3.8,3.3,1,1.8,1,83.4,1,1
"hsa_miR_188_5p",1,78.2,38.2,31.6,40.6,18.5,10.5,42.9,6.6,116.6,56,1,1,17,1,14.5,7.5,70.6,4,110,16.2,54.1,19.6,5.2,47.4,15.5,19.3,28.4,1,89.6,14.9,1,10.8,8.7,1,4.5,1,99.5,1,5.1
"hsa_miR_301a",1,45.9,33.1,49.5,16.2,22.4,1.7,34.1,12.9,116.6,31.1,1,1,8.1,1,12.9,7.5,54.4,8.5,72.1,16.2,94.6,32.3,18,10.9,38.3,11.3,25.3,28.2,85.6,20.2,1,17.9,29.3,1,14.1,1,61.9,1,1
"hsa_miR_155",1,45.9,27.9,24.4,16.2,14.6,59.2,60.5,6.6,84.7,24,1,1,56.5,1,35,51.1,50.3,13.1,110,11,29.8,32.3,5.2,65.6,8.7,1,9.6,13.2,49.5,11.4,1,1,1,1,7.2,1,35,1,19.8
